nearest_node,,,Node_sampled,,,
x1,y1,theta1,x2,y2,theta2,time
-0.265677503,-0.050110033,-0.589020841,-0.232498536,-0.072451371,-0.61830821,0.080808163
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.081974506
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.083250284
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.085307598
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.086375713
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.087878466
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.089101791
-0.20097153,-0.47764727,-0.810917758,-0.138633076,-0.555605833,-1.024317168,0.090410709
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.091749191
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.092963457
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.094057798
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.095592022
-0.20097153,-0.47764727,-0.810917758,-0.138633076,-0.555605833,-1.024317168,0.097263575
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.09847641
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.100169659
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.10125041
-0.27455871,0.123276139,0.691375619,-0.20336799,0.193244003,0.904775029,0.102419615
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.103554726
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.104659319
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.105873585
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.107112885
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.108704805
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.10979414
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.111278534
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.112779379
-0.650545494,0.008510092,0.21339941,-0.573691827,0.030395114,0.384118938,0.1142416
-0.20097153,-0.47764727,-0.810917758,-0.138633076,-0.555605833,-1.024317168,0.115911245
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.11781311
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.11911273
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.120643377
-0.573691827,-0.030395114,-0.384118938,-0.484673766,-0.075554889,-0.597518348,0.121767282
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.122865438
-0.20097153,-0.47764727,-0.810917758,-0.138633076,-0.555605833,-1.024317168,0.124099255
-0.573691827,0.030395114,0.384118938,-0.484673766,0.075554889,0.597518348,0.125594616
-0.259926964,-0.39709991,-1.024317168,-0.20097153,-0.47764727,-0.810917758,0.127019644
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.128679752
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.129821301
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.131218195
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.133065224
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.134270668
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.135695457
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.13933897
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.140755653
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.142032862
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.143335104
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.145541906
-0.259433637,-0.034276499,-0.162222021,-0.219838953,-0.03989188,-0.076862257,0.146656752
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.147930622
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.149600267
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.151290178
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.153077126
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.154355764
-0.573691827,0.030395114,0.384118938,-0.484673766,0.075554889,0.597518348,0.156115294
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.157734871
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.159037113
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.160533428
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.162345409
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.163653135
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.164974928
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.166113853
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.167279482
-0.484673766,0.075554889,0.597518348,-0.407239027,0.138542838,0.810917758,0.168601036
-0.259926964,-0.39709991,-1.024317168,-0.215512887,-0.48649236,-1.237716579,0.169740915
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.170873165
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.172088146
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.17330718
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.174804926
-0.215512887,-0.48649236,-1.237716579,-0.19103811,-0.583263254,-1.451115989,0.176147223
-0.19103811,-0.583263254,-1.451115989,-0.170714537,-0.680990286,-1.243447513,0.177287817
-0.170714537,-0.680990286,-1.243447513,-0.142901717,-0.77699956,-1.339305248,0.178501844
-0.407239027,0.138542838,0.810917758,-0.344900572,0.216501401,1.024317168,0.179665089
-0.344900572,0.216501401,1.024317168,-0.300486495,0.305893852,1.237716579,0.180818796
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.182014227
